Epsilon,Voigt,Reuss,Numerical_Mean,Numerical_Std,Numerical_Single
0.01,1.0,0.9999916666111206,0.9999626588752546,0.0,0.9999626588752546
0.06137931034482759,1.0,0.999685969463697,0.9993819291346632,0.0,0.9993819291346632
0.11275862068965517,1.0,0.9989395581861612,0.9990950747547842,0.0,0.9990950747547842
0.16413793103448276,1.0,0.9977508482801921,0.9997308976550097,0.0,0.9997308976550097
0.21551724137931036,1.0,0.9961173009506072,0.994562248609343,0.0,0.994562248609343
0.26689655172413795,1.0,0.9940353962374241,0.9936936017850337,0.0,0.9936936017850337
0.3182758620689655,1.0,0.9915005952178472,0.9913263448119213,0.0,0.9913263448119213
0.36965517241379314,1.0,0.9885072903252023,0.9877095533470173,0.0,0.9877095533470173
0.4210344827586207,1.0,0.9850487424991102,0.984531535269143,0.0,0.984531535269143
0.4724137931034483,1.0,0.9811170034874824,0.982507531809857,0.0,0.982507531809857
0.5237931034482759,1.0,0.9767028211444654,0.9768241754303715,0.0,0.9768241754303715
0.5751724137931035,1.0,0.9717955249807643,0.9730119921701565,0.0,0.9730119921701565
0.626551724137931,1.0,0.9663828884861405,0.9671652649469162,0.0,0.9671652649469162
0.6779310344827586,1.0,0.9604509638074066,0.9627131451262559,0.0,0.9627131451262559
0.7293103448275863,1.0,0.953983883159117,0.9513094220323586,0.0,0.9513094220323586
0.7806896551724138,1.0,0.9469636197715842,0.9414600113784899,0.0,0.9414600113784899
0.8320689655172414,1.0,0.9393696991053635,0.93926043636538,0.0,0.93926043636538
0.883448275862069,1.0,0.9311788482883092,0.9323047743500836,0.0,0.9323047743500836
0.9348275862068965,1.0,0.9223645679784057,0.9223279030854018,0.0,0.9223279030854018
0.9862068965517242,1.0,0.9128966057076835,0.9135685390883806,0.0,0.9135685390883806
1.0375862068965518,1.0,0.9027403025980429,0.8951541300361688,0.0,0.8951541300361688
1.0889655172413792,1.0,0.8918557752116036,0.8905814124261047,0.0,0.8905814124261047
1.140344827586207,1.0,0.8801968797336018,0.8841354041062456,0.0,0.8841354041062456
1.1917241379310346,1.0,0.867709884345075,0.8772193404792743,0.0,0.8772193404792743
1.243103448275862,1.0,0.8543317437168515,0.8658252682451302,0.0,0.8658252682451302
1.2944827586206897,1.0,0.8399878206778664,0.8398271920905679,0.0,0.8398271920905679
1.3458620689655172,1.0,0.8245888233089868,0.8215656986931182,0.0,0.8215656986931182
1.3972413793103449,1.0,0.8080266014385747,0.8160923206502055,0.0,0.8160923206502055
1.4486206896551725,1.0,0.7901682385660095,0.7909874190025871,0.0,0.7909874190025871
1.5,1.0,0.7708475135546261,0.7687413388783539,0.0,0.7687413388783539
